iter	Passed	Remaining
403	8938	13186
404	8959	13162
405	8980	13139
406	9003	13117
407	9025	13095
408	9046	13072
409	9069	13050
410	9090	13027
411	9112	13005
412	9135	12984
413	9156	12959
414	9178	12937
415	9200	12916
416	9222	12893
417	9244	12870
418	9266	12849
419	9288	12826
420	9309	12803
421	9333	12783
422	9354	12759
423	9375	12736
424	9397	12714
425	9418	12691
426	9440	12668
427	9463	12647
428	9484	12624
429	9506	12601
430	9527	12578
431	9550	12557
432	9572	12534
433	9593	12511
434	9615	12489
435	9636	12465
436	9657	12442
437	9679	12420
438	9701	12397
439	9722	12373
440	9742	12349
441	9766	12329
442	9786	12304
443	9808	12282
444	9831	12261
445	9852	12238
446	9874	12216
447	9899	12197
448	9922	12176
449	9943	12153
450	9966	12132
451	9988	12110
452	10012	12089
453	10033	12067
454	10056	12045
455	10079	12024
456	10100	12001
457	10123	11980
458	10147	11959
459	10168	11937
460	10190	11914
461	10212	11892
462	10233	11869
463	10255	11847
464	10278	11826
465	10300	11803
466	10321	11779
467	10343	11758
468	10365	11735
469	10386	11712
470	10408	11690
471	10429	11666
472	10450	11643
473	10471	11619
474	10494	11599
475	10516	11577
476	10538	11554
477	10560	11532
478	10580	11508
479	10601	11485
480	10624	11463
481	10644	11439
482	10664	11415
483	10685	11392
484	10707	11369
485	10728	11346
486	10749	11323
487	10769	11299
488	10792	11277
489	10813	11254
490	10834	11231
491	10855	11208
492	10877	11186
493	10898	11163
494	10918	11139
495	10940	11117
496	10962	11094
497	10982	11071
498	11004	11049
499	11026	11026
500	11047	11003
501	11068	10980
502	11090	10958
503	11111	10934
504	11131	10911
505	11151	10887
506	11173	10865
507	11193	10841
508	11213	10817
509	11235	10794
510	11259	10775
511	11283	10754
512	11307	10734
513	11328	10710
514	11347	10686
515	11368	10663
516	11389	10640
517	11409	10616
518	11429	10593
519	11451	10570
520	11471	10547
521	11492	10523
522	11513	10500
523	11534	10477
524	11555	10455
525	11576	10431
526	11596	10408
527	11618	10386
528	11639	10363
529	11658	10339
530	11679	10315
531	11701	10293
532	11721	10270
533	11741	10246
534	11762	10223
535	11784	10201
536	11804	10178
537	11825	10154
538	11845	10131
539	11868	10110
540	11889	10087
541	11909	10063
542	11929	10040
543	11951	10017
544	11971	9994
545	11993	9972
546	12014	9950
547	12036	9927
548	12057	9904
549	12078	9882
550	12100	9860
551	12120	9837
552	12141	9814
553	12161	9790
554	12182	9768
555	12203	9745
556	12223	9721
557	12243	9698
558	12265	9676
559	12285	9652
560	12305	9629
561	12326	9606
562	12346	9583
563	12368	9561
564	12388	9538
565	12409	9515
566	12431	9493
567	12451	9470
568	12470	9446
569	12491	9423
570	12512	9401
571	12534	9378
572	12554	9355
573	12574	9332
574	12595	9309
575	12616	9287
576	12636	9264
577	12657	9241
578	12678	9218
579	12700	9196
580	12720	9173
581	12742	9151
582	12763	9129
583	12783	9105
584	12803	9082
585	12823	9059
586	12844	9037
587	12865	9014
588	12886	8991
589	12906	8969
590	12927	8946
591	12948	8923
592	12967	8900
593	12988	8877
594	13008	8854
595	13030	8832
596	13051	8809
597	13071	8787
598	13092	8764
599	13113	8742
600	13134	8719
601	13154	8697
602	13176	8674
603	13197	8652
604	13217	8629
605	13237	8606
606	13258	8583
607	13279	8562
608	13300	8539
609	13321	8516
610	13342	8494
611	13363	8472
612	13383	8449
613	13403	8426
614	13424	8403
615	13445	8381
616	13465	8358
617	13485	8335
618	13505	8312
619	13527	8291
620	13547	8268
621	13568	8245
622	13589	8223
623	13610	8201
624	13630	8178
625	13651	8155
626	13671	8133
627	13693	8111
628	13714	8088
629	13734	8066
630	13754	8043
631	13776	8021
632	13796	7999
633	13817	7976
634	13838	7954
635	13860	7932
636	13881	7910
637	13902	7888
638	13924	7866
639	13946	7844
640	13968	7823
641	13991	7802
642	14013	7780
643	14034	7758
644	14056	7736
645	14077	7714
646	14099	7692
647	14122	7671
648	14143	7649
649	14165	7627
650	14188	7606
651	14210	7584
652	14231	7562
653	14252	7540
654	14275	7519
655	14297	7497
656	14319	7475
657	14341	7454
658	14363	7432
659	14385	7410
660	14408	7389
661	14429	7367
662	14452	7345
663	14474	7324
664	14495	7302
665	14516	7279
666	14538	7258
667	14559	7236
668	14581	7214
669	14603	7192
670	14625	7171
671	14646	7149
672	14669	7127
673	14690	7105
674	14712	7083
675	14734	7062
676	14756	7040
677	14778	7018
678	14801	6997
679	14823	6975
680	14844	6953
681	14866	6931
682	14888	6910
683	14909	6887
684	14931	6866
685	14953	6844
686	14975	6822
687	14997	6801
688	15018	6779
689	15040	6757
690	15062	6735
691	15084	6713
692	15105	6691
693	15125	6669
694	15146	6646
695	15168	6625
696	15188	6602
697	15209	6580
698	15232	6559
699	15254	6537
700	15276	6515
701	15300	6494
702	15322	6473
703	15344	6451
704	15368	6430
705	15390	6408
706	15411	6387
707	15434	6365
708	15456	6343
709	15477	6321
710	15501	6300
711	15523	6279
712	15544	6257
713	15567	6235
714	15588	6213
715	15608	6191
716	15630	6169
717	15651	6147
718	15672	6125
719	15693	6102
720	15715	6081
721	15736	6059
722	15757	6036
723	15777	6014
724	15799	5992
725	15820	5970
726	15841	5948
727	15863	5927
728	15884	5905
729	15906	5883
730	15928	5861
731	15950	5839
732	15971	5817
733	15993	5796
734	16015	5774
735	16037	5752
736	16058	5730
737	16082	5709
738	16104	5687
739	16125	5665
740	16148	5644
741	16169	5622
742	16191	5600
743	16213	5578
744	16235	5557
745	16257	5535
746	16279	5513
747	16301	5492
748	16324	5470
749	16347	5449
750	16368	5427
751	16389	5404
752	16412	5383
753	16434	5361
754	16456	5340
755	16480	5319
756	16502	5297
757	16526	5276
758	16549	5254
759	16573	5233
760	16596	5212
761	16618	5190
762	16642	5169
763	16663	5147
764	16685	5125
765	16708	5104
766	16731	5082
767	16752	5060
768	16776	5039
769	16798	5017
770	16818	4995
771	16839	4973
772	16860	4951
773	16880	4929
774	16901	4906
775	16924	4885
776	16944	4863
777	16965	4841
778	16986	4819
779	17008	4797
780	17029	4775
781	17051	4753
782	17074	4731
783	17097	4710
784	17120	4689
785	17143	4667
786	17164	4645
787	17187	4624
788	17212	4603
789	17239	4582
790	17263	4561
791	17287	4540
792	17307	4517
793	17328	4495
794	17347	4473
795	17366	4450
796	17386	4428
797	17405	4405
798	17424	4383
799	17444	4361
800	17463	4338
801	17481	4315
802	17500	4293
803	17519	4270
804	17538	4248
805	17557	4225
806	17577	4203
807	17595	4181
808	17614	4158
809	17633	4136
810	17652	4113
811	17672	4091
812	17692	4069
813	17712	4047
814	17731	4024
815	17750	4002
816	17769	3980
817	17789	3958
818	17809	3935
819	17828	3913
820	17848	3891
821	17867	3869
822	17887	3846
823	17907	3824
824	17927	3802
825	17947	3780
826	17967	3758
827	17987	3736
828	18006	3714
829	18026	3692
830	18045	3669
831	18066	3647
832	18085	3625
833	18104	3603
834	18123	3581
835	18143	3559
836	18162	3537
837	18182	3514
838	18203	3493
839	18222	3470
840	18241	3448
841	18259	3426
842	18278	3404
843	18297	3382
844	18317	3359
845	18336	3337
846	18355	3315
847	18374	3293
848	18393	3271
849	18412	3249
850	18431	3227
851	18450	3205
852	18469	3182
853	18488	3160
854	18507	3138
855	18527	3116
856	18547	3094
857	18567	3072
858	18587	3050
859	18607	3029
860	18626	3007
861	18646	2985
862	18665	2963
863	18685	2941
864	18706	2919
865	18726	2897
866	18750	2876
867	18771	2854
868	18792	2832
869	18814	2811
870	18834	2789
871	18855	2767
872	18876	2746
873	18898	2724
874	18919	2702
875	18940	2681
876	18963	2659
877	18985	2638
878	19006	2616
879	19029	2594
880	19051	2573
881	19073	2551
882	19095	2530
883	19116	2508
884	19136	2486
885	19157	2464
886	19179	2443
887	19199	2421
888	19219	2399
889	19240	2378
890	19262	2356
891	19282	2334
892	19303	2312
893	19324	2291
894	19345	2269
895	19366	2247
896	19386	2226
897	19407	2204
898	19429	2182
899	19450	2161
900	19471	2139
901	19492	2117
902	19513	2096
903	19534	2074
904	19555	2052
905	19577	2031
906	19598	2009
907	19619	1987
908	19639	1966
909	19661	1944
910	19681	1922
911	19703	1901
912	19725	1879
913	19744	1857
914	19765	1836
915	19785	1814
916	19806	1792
917	19827	1771
918	19848	1749
919	19869	1727
920	19890	1706
921	19911	1684
922	19931	1662
923	19952	1641
924	19973	1619
925	19993	1597
926	20015	1576
927	20035	1554
928	20056	1532
929	20075	1511
930	20095	1489
931	20116	1467
932	20142	1446
933	20164	1424
934	20186	1403
935	20208	1381
936	20228	1360
937	20249	1338
938	20269	1316
939	20290	1295
940	20311	1273
941	20332	1251
942	20352	1230
943	20374	1208
944	20394	1186
945	20415	1165
946	20437	1143
947	20458	1122
948	20478	1100
949	20498	1078
950	20519	1057
951	20540	1035
952	20561	1014
953	20581	992
954	20602	970
955	20623	949
956	20644	927
957	20664	905
958	20685	884
959	20706	862
960	20727	841
961	20748	819
962	20768	797
963	20789	776
964	20809	754
965	20829	733
966	20850	711
967	20871	689
968	20892	668
969	20913	646
970	20933	625
971	20955	603
972	20976	582
