iter	Logloss
0	0.6059120331
1	0.5305157802
2	0.4657833237
3	0.4096802573
4	0.3625582546
5	0.3202344449
6	0.2862289923
7	0.2577552581
8	0.2319379961
9	0.210994249
10	0.1932200677
11	0.1779798879
12	0.1649488869
13	0.1538265281
14	0.1442143584
15	0.1359136332
16	0.1281576133
17	0.1212026664
18	0.1154312154
19	0.1101094662
20	0.1056660161
21	0.1014444428
22	0.09804428511
23	0.09470617497
24	0.09167917624
25	0.08886985356
26	0.08690180758
27	0.08469541238
28	0.08310868035
29	0.08125832752
30	0.0793981506
31	0.07767374675
32	0.07620869017
33	0.07475044996
34	0.07339300478
35	0.07217004447
36	0.07110176051
37	0.07009966879
38	0.06915303787
39	0.0682500889
40	0.0673851369
41	0.06659190531
42	0.06588440214
43	0.06518774245
44	0.06453885343
45	0.06392848786
46	0.06337871918
47	0.06283159415
48	0.06235537739
49	0.06188752287
50	0.06141181019
51	0.06092041481
52	0.0605272268
53	0.06024656226
54	0.05983719866
55	0.05946311556
56	0.05908949734
57	0.05874625878
58	0.05837616357
59	0.05808486839
60	0.05777915631
61	0.05748672974
62	0.05722030846
63	0.05704149193
64	0.05677849845
65	0.05655291943
66	0.05639277653
67	0.0561531895
68	0.055897046
69	0.05571765257
70	0.05551543519
71	0.05527413986
72	0.05514315561
73	0.05500382031
74	0.05485197805
75	0.0546574564
76	0.05452076476
77	0.05431487315
78	0.05410450077
79	0.05400311763
80	0.05382501243
81	0.05373054089
82	0.05349041056
83	0.05335558964
84	0.05326408662
85	0.05317174344
86	0.05308723603
87	0.05297325632
88	0.0528326496
89	0.05269525783
90	0.05258612856
91	0.05251325436
92	0.05244031854
93	0.05237158345
94	0.05227839454
95	0.0521596764
96	0.0520202963
97	0.05191775376
98	0.05184377057
99	0.05176502655
100	0.05169565855
101	0.05158756546
102	0.05143815401
103	0.0513368717
104	0.05124052943
105	0.05116809211
106	0.05105824591
107	0.05097480268
108	0.05080367068
109	0.05073922593
110	0.05057985597
111	0.05047328074
112	0.05041181571
113	0.05034574108
114	0.05023067478
115	0.05011336249
116	0.05002925274
117	0.04997305822
118	0.04990108017
119	0.04984470642
120	0.04977815011
121	0.04972666601
122	0.04965621702
123	0.04957207927
124	0.04951204249
125	0.04941337582
126	0.04935027531
127	0.04929600192
128	0.04923660365
129	0.04917290943
130	0.04907201358
131	0.04900232633
132	0.04892386796
133	0.04886640202
134	0.04880782709
135	0.04876257686
136	0.04871553993
137	0.04866177623
138	0.04859981831
139	0.04856002903
140	0.04848574338
141	0.0484199152
142	0.04837374641
143	0.04832321447
144	0.04828590082
145	0.04823587857
146	0.04820615983
147	0.04815736419
148	0.04812005614
149	0.04806804554
